Designator,Package,Quantity,Designation,Supplier and ref
Y1,Crystal_SMD_3215-2pin_3.2x1.5mm,1,Crystal_GND24,
Y2,Crystal_SMD_5032-4pin_5.0x3.2mm,1,Crystal_GND24,
U1,PLCC-52_mirrored,1,68HC05_PLCC,
U3,LQFP-48_7x7mm_Pitch0.5mm,1,STM32F103C8Tx,
"R1,R3,R8",R_0805_HandSoldering,3,100k,
"R2,R4,R5,R6,R7,R11,R15,R16,R17,R19",R_0805_HandSoldering,11,1k,
"R9,R10",R_0805_HandSoldering,2,47k,
"R12,R13",R_0805_HandSoldering,2,20,
R14,R_0805_HandSoldering,1,1k5,
R18,R_0805_HandSoldering,1,1M,
C1,C_1206_HandSoldering,1,1uF,
"C2,C3,C4,C5",C_0805_HandSoldering,4,22p,
"C6,C7",C_0805_HandSoldering,2,100n,
D1,LED-1206,1,red,
U2,AB2_SOT223,1,AP1117-33,
"JP2,JP1",SolderJumper,2,SolderJumper_3_Open,
