"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R14";"R_0805_HandSoldering";1;"1k5";;;
2;"R8,R3";"R_0805_HandSoldering";2;"100k";;;
3;"R1,R20,R19,R17,R16,R15,R6,R5,R4,R11,R2,R7";"R_0805_HandSoldering";12;"1k";;;
4;"U4";"SOT-23";1;"MAX809";;;
5;"CON4";"Pin_Header_Straight_1x06";1;"JLINK";;;
6;"BOOT0,BOOT1";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels";2;"SolderJumper_3_Open";;;
7;"CON3";"Pin_Header_Straight_1x03";1;"SPI_TO_PANEL";;;
8;"CON2";"Pin_Header_Straight_1x04";1;"USB";;;
9;"Y2";"Crystal_SMD_5032-4pin_5.0x3.2mm";1;"8MHz";;;
10;"Y1";"Crystal_SMD_3215-2pin_3.2x1.5mm";1;"32.768kHz";;;
11;"R18";"R_0805_HandSoldering";1;"1M";;;
12;"R13,R12";"R_0805_HandSoldering";2;"20";;;
13;"D1";"LED-1206";1;"LED";;;
14;"CON1";"Pin_Header_Straight_1x02";1;"I2C_to_TDA";;;
15;"C7,C6";"C_0805_HandSoldering";2;"100n";;;
16;"C5,C4,C3,C2";"C_0805_HandSoldering";4;"22p";;;
17;"U1";"PLCC-52_mirrored";1;"68HC05_PLCC";;;
18;"U2";"AB2_SOT223";1;"AP1117-33";;;
19;"R10,R9";"R_0805_HandSoldering";2;"47k";;;
20;"C8";"TantalC_SizeA_EIA-3216_HandSoldering";1;"10u/16V";;;
21;"U3";"LQFP-48_7x7mm_Pitch0.5mm";1;"STM32F103C8Tx";;;
