Id,Designator,Package,Quantity,Designation,Supplier and ref
1,U3,LQFP-48_7x7mm_Pitch0.5mm,1,STM32F103C8Tx,
2,U1,PLCC-52_mirrored,1,68HC05_PLCC,
3,U2,AB2_SOT223,1,AP1117-33,
4,D1,LED-1206,1,red,
5,C1,C_1206_HandSoldering,1,1uF,
6,"R1,R3,R8",R_0805_HandSoldering,3,100k,
7,"R2,R4,R5,R6,R7,R11,R15,R16,R17,R19",R_0805_HandSoldering,10,1k,
8,"R9,R10",R_0805_HandSoldering,2,47k,
9,"C2,C3,C4,C5",C_0805_HandSoldering,4,22p,
10,"C6,C7",C_0805_HandSoldering,2,100n,
11,I2C2TDA,Pin_Header_Straight_1x02,1,I2C_to_TDA,
12,USB,Pin_Header_Straight_1x04,1,USB,
13,SPI2PANEL,Pin_Header_Straight_1x03,1,SPI_TO_PANEL,
14,JLINK,Pin_Header_Straight_1x04,1,JLINK,
15,"BOOT0,BOOT1",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels,2,SolderJumper_3_Open,
16,"R12,R13",R_0805_HandSoldering,2,20,
17,R14,R_0805_HandSoldering,1,4k7,
18,R18,R_0805_HandSoldering,1,1M,
19,Y1,Crystal_SMD_3215-2pin_3.2x1.5mm,1,Crystal_GND24,
20,Y2,Crystal_SMD_5032-4pin_5.0x3.2mm,1,Crystal_GND24,
